animeId,annid,animeName,songId,songName,songArtist,songType,songsNumber,songDifficulty
5860,,Made in Abyss: Fukaki Tamashii no Reimei,8063,Transcendance and Hanezeve,Kevin Penkin ft. Takeshi Saito,3,,
3497,,Granbelm,8064,Negai,Uru,2,,
9453,,Super GALS! Kotobuki Ran,8065,A☆I☆Tsu,dicot,1,,
5995,,Mahou Shoujo Lyrical Nanoha StrikerS,8066,Beautiful Amulet,Yukari Tamura,2,,
9386,,Strike Witches 2,8067,Over Sky,Ayuru Ohashi & Mai Kadowaki,2,,
9037,,Sketchbook: Full Color's,8068,Kaze Sagashi,Natsumi Kiyoura,1,,
283,,AKB0048 Next Stage,8069,Chance no Junban,AKB48,3,,
2277,,Dorohedoro,8070,Who am I?,(K)NoW_NAME:Ayaka Tachibana & NIKIIE,2,,
205,,Ai City,8071,PSYCHIC MAN,Yukoh Kusunoki,3,,
6905,,Natsume Yuujinchou San,8072,Kimi no Kakera,Kousuke Atari feat. Emiri Miyamoto,2,,
402,,Ani Ni Tsukeru Kusuri wa Nai!,8073,Sunny side up,Brian the Sun,1,,
1117,,"Boku no Imouto wa ""Osaka Okan""",8074,Negiri no Ballad,Kana Asumi,2,,
3661,,Haikyu!! Movie Owari to Hajimari,8075,Imagination,SPYAIR,2,,
773,,Bakuon!!,8076,Voon! Voon! Ride On!,Raimu-senpai,2,,
2558,,Eigi: Shadow Skill,8077,Tasogare no Naka de,KASUMI,2,,
11001,,xxxHOLiC: Rou,8078,Adayume,Shikao Suga,1,,
10663,,Urusei Yatsura Movie 3: Remember My Love,8079,Born to Be Free,Steffanie,1,,
236,,Aikatsu!,8080,Trap of Love,Sunao・Waka・Fuuri from STAR☆ANIS,3,,
674,,Aura: Maryuuinkouga Saigo no Tatakai,8081,Bokura no Sekai,CooRie,2,,
10300,,Tokyo Ghoul:re,8082,Remembering,Tate McRae,3,,
1663,,Connected…,8083,Flowing Wind,Buoy,2,,
11468,,Mob Psycho 100 III,8084,Exist,MOB CHOIR,2,,
6073,,Major,8085,Saraba Aoki Omokage,Road of Major,1,,
903,,Beelzebub,8086,Answer,No Sleeves,2,,
9115,,Sora no Method,8087,North method,Larval Stage Planning,3,,
8513,,Sayonara Watashi no Cramer,8088,Kuyashii Koto wa Kettobase,Mikako Komatsu,2,,
6045,,Mairimashita! Iruma-kun,8089,Girigiri Ride it out,FANTASTICS from EXILE TRIBE,1,,
3541,,Grisaia: Phantom Trigger the Animation,8090,Gensou no Rondo,Maon Kurosaki,1,,
8702,,Seven Knights Revolution: Eiyuu no Keishousha,8091,Sora Shiranu Mushi no Ko yo,Hibiku Yamamura,3,,
452,,Ano Natsu de Matteru,8092,Kisetsu no Shutter,Ray,1,,
1866,,DanMachi IV,8093,Guide,Saori Hayami,2,,
3226,,Genshiken Nidaime,8094,Aoku Yureteiru,"Nozomi Yamamoto, Sumire Uesaka, Yumi Uchiyama, Ai Kakuma",2,,
6045,,Mairimashita! Iruma-kun,8095,Kimi no Koakuma Mokushiroku,Nao Touyama & Ayumu Murase,3,,
4714,,Kaijuu no Kodomo,8096,Umi no Yuurei,Kenshi Yonezu,2,,
7025,,Nils no Fushigi na Tabi,8097,Nils no Fushigi na Tabi,Katsumi Kahashi,1,,
4995,,Kidou Senshi Gundam Thunderbolt,8098,Iroaku,The Yellow Tricycle,2,,
11494,,Berserk Ougon Jidai-Hen: Memorial Edition,8099,BERSERK-Forces 2016,Susumu Hirasawa,3,,
10835,,Wanwan Sanjuushi,8100,Wanwan Sanjushi,Maron Kusaka,1,,
11507,,Kage no Jitsuryokusha ni Naritakute!,8101,HIGHEST,OxT,1,,
6311,,Meitantei Conan,8102,Yarukkyanai no sa ~Conan no Shouri~,Iori & Minami Takayama,3,,
9320,,Starry Tales: Seiza wa Toki o Koete,8103,Starry Tales,ORIGA,3,,
5359,,Koyomimonogatari,8104,mein schatz,mito,1,,
1594,,ClassicaLoid,8105,Hakuchou Rock ~Hakuchou no Mizuumi yori~,Tsunku♂ feat. Arisa Hario,2,,
6930,,Negima!?,8106,1000%SPARKING!,"Natsuko Kuwatani, Sawa Ishige, Mamiko Noto",1,,
10763,,Visual Prison,8107,ROYAL CROWN,ECLIPSE,3,,
5156,,Kishin Taisen Gigantic Formula,8108,Kimi no Hoshi,Rina Satou,3,,
8422,,Sakura Tsuushin,8109,Kimi no Mado Kara,Takako Kuwata,1,,
9630,,Tantei Gakuen Q,8110,Koigokoro,Akane Sugazaki,2,,
3169,,Gekijouban Servamp: Alice in the Garden,8111,One Side,OLDCODEX,2,,
4921,,Kenka Banchou Otome: Girl Beats Boys,8112,Face to Fake,Tsubasa Yonaga,3,,
7991,,RahXephon,8113,Yume no Tamago,Ichiko Hashimoto & Mayumi Hashimoto,2,,
1966,,Denpa Onna to Seishun Otoko,8114,Os-Uchuujin,Erio o Kamatte-chan,1,,
801,,BanG Dream! Film Live 2nd Stage,8115,RASHAPEOPLE!,"RAISE A SUILEN×Hello, Happy World!",2,,
9927,,The IDOLM@STER Cinderella Girls Gekijou: Extra Stage,8116,Harukoi Frame,Mina Nagashima,2,,
7382,,"Ore, Twintail ni Narimasu.",8117,Gimme! Revolution,Maaya Uchida,1,,
6058,,Maji de Watashi ni Koi Shinasai!!,8118,Kimi no Maji o Choudai,"Yuu Asakawa, Akane Tomonaga, Hyo-sei, Shizuka Itou, Yuuko Gotou",2,,
4079,,Hitoribocchi no Marumaruseikatsu,8119,Hitoribocchi no Monologue,"Chisaki Morishita, Minami Tanaka, Akari Kitou, Yuuko Kurose",1,,
11103,,"Yondemasu yo, Azazel-san.",8120,Miracle Trouble New Face!,Team.Nekokan [Neko] featuring. Chihiro Yonekura,1,,
236,,Aikatsu!,8121,Move on now!,Waka・Fuuri・Sunao from STAR☆ANIS,3,,
236,,Aikatsu!,8122,Miwaku no Party,Mona・Ruka from AIKATSU☆STARS!,3,,
4257,,Idaten Jump,8123,RED ZONE!!!,Tsubame Sketch,1,,
8994,,Shutsugeki! Machine Robo Rescue,8124,Go! Go! Rescue,JAM Project,1,,
9460,,Super Lovers 2,8125,Gyun to Love Song,Junko Minagawa & Takuma Terashima,2,,
5096,,Kindaichi Shounen no Jikenbo Returns,8126,Yonjuushi,NEWS,1,,
3629,,Hacka Doll the Animation,8127,Happy Days Refrain,Hacka Doll,2,,
4269,,Idol Time PriPara,8128,Marble Make up a-ha-ha!,Himika Akaneya & Yuu Serizawa,3,,
9459,,Super Lovers,8129,Happiness YOU&ME,Yoshitsugu Matsuoka & Takuma Terashima,2,,
10282,,Tokimeki Restaurant☆☆☆ MIRACLE6,8130,Just do it!,X.I.P.,3,,
9604,,Tamagotchi! Yume Kira Dream,8131,Powerful Beat,Rain Boys,2,,
3582,,Gundam Evolve,8132,Owaranu Mirai,Jirou Kawakami,2,,
10395,,Toushi Gordian,8133,Toushi Gordian,Daijirou Shiomi,1,,
7775,,Pokémon XY&Z,8134,Nyarth no Ballad,Inuko Inuyama,2,,
4796,,Kamiwaza Wanda,8135,Wanda Nanda!?,DAIGO,1,,
10472,,TsukiPro the Animation 2,8136,YOUR FREEDOM,QUELL,1,,
7726,,Pocket Monsters XY,8137,Getter Banban,Tomohisa Sako,1,,
8963,,Shounen Hollywood: Holly Stage for 49,8138,Hello Sekai,Shounen Hollywood,3,,
2679,,Fairy Musketeers,8139,Yumesaki Garden,Miyuki Sawashiro,3,,
7726,,Pocket Monsters XY,8140,Peasmile!,J☆Dee'Z with Ikue Ootani,2,,
3780,,Haou Taikei Ryuu Knight: Adeu Legend,8141,Point 1,Yumiko Takahashi,2,,
8726,,Shadowverse F,8142,Tick-Tock,NEWS,1,,
9669,,Teekyuu,8143,Koyoi Festival,Kyouko Narumi,1,,
11184,,Yu-Gi-Oh! Duel Monsters,8144,Ano Hi no Gogo,Masami Okui,2,,
7998,,Rail Wars!,8145,Mukai Kaze ni Utarenagara,Minori Chihara,1,,
8074,,Red Garden,8146,poor scheme,JiLL-Decoy association feat. Yusuke Shima,3,,
