,playerName,nbSongs,score,nbSoloPoints
355,Christian731,4683,17,0.0
356,ChristmasCookie,423,20,0.0
357,ChromaDingus,85,10,0.0
358,ChromeW,103,9,0.0
359,Chromes_Butler,142,0,0.0
360,Chronomium,19,0,0.0
361,ChubbyCat49,91,8,0.0
362,ChungusBaka,97,5,0.0
363,Chuuyan,319,6,0.0
364,ChyYuna,761,11,0.0
365,Cimaa,594,27,0.0
366,Cindergoat,3633,27,0.0
367,Cirqfujo,76,46,0.0
368,Clairefairy95,522,12,0.0
369,Clappy24681,465,11,0.0
370,ClauOreo,279,2,0.0
371,CleonOlh,545,36,0.0
372,ClickClick,85,0,0.0
373,Clifford,5879,24,0.0
374,ClosetCheater,85,4,0.0
375,CloudBoxx,75,2,0.0
376,Cloudhead,85,3,0.0
377,Cobblestone,425,27,0.0
378,Cofe,6967,37,5.0
379,Coglionedown,85,2,0.0
380,Colin2Am,59,0,0.0
381,ComandanteGames,85,9,0.0
382,Combeferre,572,20,0.0
383,Comisuamae,85,1,0.0
384,Compotesalty,468,6,0.0
385,Conan48,3215,18,0.0
386,Corax,119,4,0.0
387,CoreKun,85,0,0.0
388,CosmicKiwi,85,3,0.0
389,Cosmos720,85,9,0.0
390,CoultD,13,1,0.0
391,Courtcomposer,67,5,0.0
392,Cowloon,85,4,0.0
393,CoxinhaDeFrango,35,0,0.0
394,Coxmos,85,1,0.0
395,CptSalmon,85,6,0.0
396,Crabapples,80,4,0.0
397,Crafthai,85,0,0.0
398,Cranestorm,85,14,0.0
399,Crankstarfan,85,0,0.0
400,CrazyFuchs,269,3,0.0
401,CreatorAltair,133,13,0.0
402,CreepOwO,67,2,0.0
403,Cringekastel,37,5,0.0
404,CrispyHashbrowns,170,3,0.0
405,Cronxy,85,0,0.0
406,CrossCrusher,6957,18,0.0
407,Crotadbag,85,0,0.0
408,CrotasCrocs,85,0,0.0
409,Crowowo,85,1,0.0
410,Cruckiller,151,1,0.0
411,CrusherQueen,14,0,0.0
412,CryRyuko,85,1,0.0
413,Crydz_RAZ3R,144,0,0.0
414,Cryo_blob_slayer,82,0,0.0
415,Crystlack,85,0,0.0
416,Cuckman,624,4,0.0
417,CummySlutty,85,4,0.0
418,CurDesu,29,2,0.0
419,Cure_Yuri,322,25,0.0
420,CyanPrinterInk,334,5,0.0
421,CyberGalaxy,84,5,0.0
422,Cybilion,33,1,0.0
423,Cyburr_Ghost,279,1,0.0
424,Cydude,85,8,0.0
425,Cyndark,4686,13,0.0
426,Cysse,85,6,0.0
427,D4NGER,32,2,0.0
428,D4rk3us,168,1,0.0
429,DDD,333,12,0.0
430,DDJD9,142,3,0.0
431,DEEZNITTY,115,2,0.0
432,DGAmako,85,9,0.0
433,DJayStrick,83,5,0.0
434,DJpanda,2537,22,0.0
435,DKing20,4578,53,0.0
436,DMCA,254,30,2.0
437,DOGSHITnoob1,20,8,0.0
438,DaGoomba,255,9,0.0
439,Daak,101,18,0.0
440,DabestEX,73,1,0.0
441,DaddyKrabs,85,2,0.0
442,DaiChi3,169,4,0.0
443,Danapix,168,14,0.0
444,Danchoo,3871,24,0.0
445,DaniDragon,85,1,0.0
446,DannyKno,4963,28,0.0
447,Danopopo,680,25,0.0
448,Dantsuki,85,4,0.0
449,DarkAccel,25,1,0.0
450,DarkMax03,2192,8,0.0
451,DarkPhoenix4567,170,0,0.0
452,DarkSonic308,1200,15,0.0
453,DarkStar,67,20,0.0
454,DarkWarriory,85,3,0.0
455,DarkestAssassin,170,10,0.0
456,DarkyNep,2417,45,0.0
457,Darque,85,2,0.0
458,DatRandomDude,30,5,0.0
459,Datboi_Chuckles,85,14,0.0
460,Dav1n1,85,6,0.0
461,Davidson,61,0,0.0
462,Davidx33,510,15,0.0
463,Davisgn2,271,4,0.0
464,Dawidoo165,170,3,0.0
465,DeZocka,229,6,0.0
466,DeadlyTired,85,2,0.0
467,DeafProdigy,152,37,0.0
468,Deafness,10935,65,11.0
469,Deazir,85,3,0.0
470,Decane,870,3,0.0
471,DeceCat,135,2,0.0
472,DeeGeeDow,170,1,0.0
473,DeepFriedChickn,170,21,0.0
474,DejaBoon,2237,29,0.0
475,Dekdek,85,15,0.0
476,Delete,4696,42,6.0
477,Demis_Great,3720,16,0.0
478,DenilKos,170,24,0.0
479,Denji,450,19,0.0
480,Destruct_You,71,3,0.0
481,DevotedOblivion,67,6,0.0
482,DexteR771,326,21,0.0
483,DiViX,85,35,0.0
484,Diantha,160,26,0.0
485,Dida_11,85,13,0.0
486,DieBoxx,85,1,0.0
487,Dietweeb,85,0,0.0
488,Diice,170,16,0.0
489,Diipso,85,10,0.0
490,Dinhatime,82,7,0.0
491,Dinkles,85,3,0.0
492,Dinosaurus,3270,15,0.0
493,Disaster1337,32,4,0.0
494,Diukes,3808,44,2.0
495,DjCharat,3748,40,2.0
496,Djedaika,190,2,0.0
497,DoTand,85,11,0.0
498,DoYouRemember,400,15,0.0
499,DobbySSB,85,9,0.0
500,Dochyey,85,9,0.0
501,Docoppolis,85,0,0.0
502,DoctorHobo,3399,19,0.0
503,DoctorTimeWarp,170,3,0.0
504,Dodolhelico,3577,27,0.0
505,Dog1e,39,0,0.0
506,DoggoX,85,1,0.0
507,Doggodogz,85,0,0.0
508,DokiDokiYo,83,2,0.0
509,Dokuganryuusei,91,5,0.0
510,Domi,7824,41,1.0
511,DomiNeeko,66,1,0.0
512,Donkey,499,23,0.0
513,Donniedarkie,168,0,0.0
514,Dontee,85,12,0.0
515,Donyx,84,8,0.0
516,Doosy,85,0,0.0
517,Doot,85,11,0.0
518,DoozyKiddo,33,2,0.0
519,Dor4gon,85,4,0.0
520,Doragus5,85,6,0.0
521,Dota,168,26,0.0
522,Doue,85,9,0.0
523,DrGekota,92,25,0.0
524,DrLolipantsu,1735,22,0.0
525,DrRodneyMcKay,1409,12,0.0
526,DrTreason,85,0,0.0
527,DrUmbradecim,221,6,0.0
528,Dr_Woland,2094,19,3.0
529,Dracometeor007,85,2,0.0
530,Draftier,85,1,0.0
531,Draftis,85,2,0.0
532,DragonPelt,534,6,0.0
533,DragonRuru,85,0,0.0
534,DragonUn,280,32,0.0
535,Dragovoid,294,13,0.0
536,DrainZ,67,1,0.0
537,Dreddwolf,93,2,0.0
538,Driesi,85,10,0.0
539,DrogAd,71,1,0.0
540,Dronix97,66,0,0.0
541,Ducci,149,23,0.0
542,DudeWeedLmao,1574,43,0.0
543,Dunga,84,9,0.0
544,DuoX,44,6,0.0
545,Durvurkiin,1157,8,0.0
546,Dussia,85,4,0.0
547,DutchPeasant,765,32,0.0
548,Dutilos42,161,24,0.0
549,Dynamiiight,160,6,0.0
550,DynastyBedo,76,1,0.0
551,DysDiv,85,9,0.0
552,DzFelix,32,2,0.0
553,EBALTRAHALNASILO,594,30,0.0
554,EDUCGIYPIDE,71,7,0.0
555,ER75BG,85,0,0.0
556,ERROR101,72,0,0.0
557,ESPERMINHA,743,48,0.0
558,EVOhongzaw,2641,13,0.0
559,EagleEyes,85,8,0.0
560,Earth_the_wizard,206,0,0.0
561,Eaticmno,165,5,0.0
562,EcchiDesu,85,1,0.0
563,Echi,510,6,0.0
564,Eclesya,281,1,0.0
565,Edisu,96,1,0.0
566,Edugei,30,5,0.0
567,Edwardd,1024,31,1.0
568,Edweeen,80,3,0.0
569,Egg_Nut,85,2,0.0
570,Eggies,32,1,0.0
571,EgirlEnjoyer,1962,16,0.0
572,EikoTsukimi,392,21,0.0
573,Einheria,85,3,0.0
574,Einrys,3330,10,0.0
575,Ekhto,71,1,0.0
576,EkirtsAvon,254,4,0.0
577,Ekkaiaenoia,570,4,1.0
578,EkkoEcho,665,10,0.0
579,ElJuanchi,78,3,0.0
580,ElKabian,85,1,0.0
581,ElTotom,4457,13,0.0
582,Elel,319,17,0.0
583,Elfiachaa,84,0,0.0
584,Eliteshadowman,1034,12,0.0
585,Ellathar,777,37,1.0
586,Elly,4697,30,0.0
587,Elshad,82,14,0.0
588,EmanSaur,96,13,0.0
589,Ematasomaru,951,19,0.0
590,EmbarrassedCough,85,0,0.0
591,Emdiel,158,37,0.0
592,EmeliaBestGirl,21,1,0.0
593,Emilicopes,97,1,0.0
594,Emirlio,85,24,0.0
595,Empeurman,84,6,0.0
596,EmptySetNull,25,0,0.0
597,EnDy_S,659,18,0.0
598,EndingsOnly,55,17,0.0
599,Endranii,85,24,0.0
600,Endrigar,85,14,0.0
601,Enoshimamiyu,82,8,0.0
602,Enryuuuu,252,19,0.0
603,EnterpriseDesu,33,3,0.0
604,EnvyOmega,170,5,0.0
605,Enyko,534,19,0.0
606,Enzan,85,8,0.0
607,Ephemeral,9257,35,0.0
608,Ephy361,85,1,0.0
609,Epobme,170,11,0.0
610,ErOs,60,6,0.0
611,EriDBst,82,0,0.0
612,EricDoADG,69,2,0.0
613,Erick6400,85,1,0.0
614,ErisGreycat,68,31,0.0
615,Erothaur,666,16,0.0
616,EruisKawaii,6698,57,4.0
617,ErykIII,83,7,0.0
618,Eryth,6092,61,7.0
619,Esdia,82,8,0.0
620,Eskaem,1079,14,0.0
621,Eskos,140,29,0.0
622,Especrial,223,3,0.0
623,Estavel,83,3,0.0
624,EternalSnow,85,45,0.0
625,EthanIsUrSenpai,85,5,0.0
626,Ethanterry,255,4,0.0
627,Eule_no_nishi,85,8,0.0
628,Evan_27,170,4,0.0
629,Evefnn,45,0,0.0
630,Evergarden,4519,24,0.0
631,EvolveQFirst,170,4,0.0
632,Evsik,393,19,0.0
633,Excallight,53,5,0.0
634,Exelquiz,98,2,0.0
635,ExiaRevival,83,0,0.0
636,ExiledHavoc,83,4,0.0
637,Exordium,4881,31,0.0
638,Eyeballin,12,0,0.0
639,F4IL0,2306,17,0.0
640,FC2PPV_1560667,4448,38,2.0
641,FGSky1,84,12,0.0
642,FORTNAYT,269,41,0.0
643,FRIEND,209,4,0.0
644,FTKazum,85,0,0.0
645,FUCK_AMQ,1223,43,0.0
646,FabiXD21,296,15,0.0
647,FabianAdrian,622,9,0.0
648,FabioPik,76,6,0.0
649,Fackcat,164,3,0.0
650,Fadist,82,2,0.0
651,Fairy9,85,43,0.0
652,Falatharo,645,1,0.0
653,FalsoDiego,1107,3,0.0
654,FamGamings,45,3,0.0
655,Famine150,32,2,0.0
656,Fangmatt,169,7,0.0
657,Fanimr17,85,0,0.0
658,Fantazirro,201,2,0.0
659,FarWanderer,37,11,0.0
660,Farmaceut7,174,2,0.0
661,Fatboi,30,0,0.0
662,Feaz,85,4,0.0
663,Feedington,115,5,0.0
